unty_atch_file_no,atch_file_sqno,bsne_clsf_cd,atch_file_knd_cd,atch_file_nm,orgnl_atch_file_nm,file_extn_nm,file_sz,encr_bef_file_sz,img_url,atch_file_dscr,mcsc_chck_id_val,dwnld_prms_yn,kbrdr_id,kbrdr_nm,inpt_dt,atch_file_path_nm,tbl_nm,col_nm,atch_file_rmrk_cn
59e7a80a-9ee2-425a-9367-83a3a8bb922b,1,업130031,첨020297,562a977ddcf144d49882f82edd4f3a22.pdf,붙임1. 2026년도 대학정보보호동아리&#40;KUCIS&#41; 행사 및 교육 지원 용역 입찰공고문.pdf,.pdf,117310,,,,,,UN00000213619,신지혜,2026-02-09 09:46:29,/data/Attachfiles/a/2026/02/09/562a977ddcf144d49882f82edd4f3a22.pdf,c,d,
59e7a80a-9ee2-425a-9367-83a3a8bb922b,2,업130031,첨020033,e5192990e4564b499ff2aeabd1514a81.hwp,붙임2. 2026년도 대학정보보호동아리&#40;KUCIS&#41; 행사 및 교육 지원 용역 제안요청서.hwp,.hwp,159232,,,,,,UN00000213619,신지혜,2026-02-09 09:46:29,/data/Attachfiles/a/2026/02/09/e5192990e4564b499ff2aeabd1514a81.hwp,c,d,
60bf3dce-19f0-49b0-9226-1905cda184a4,1,업130031,첨020297,8c31619390aa4b88853b1229dbf53dc5.hwp,[태평2가]시공자 선정 우선협상 대상자 선정공고 &#40;4차&#41;.hwp,.hwp,15872,,,,,,UN00000479246,김경희,2026-02-09 10:23:46,/data/Attachfiles/a/2026/02/09/8c31619390aa4b88853b1229dbf53dc5.hwp,c,d,
60bf3dce-19f0-49b0-9226-1905cda184a4,2,업130031,첨020033,8e645ec9c059400eb7920b1462535248.hwp,태평2가 시공자선정 입찰참여지침서&#40;우선협상대상&#41; &#40;1&#41;.hwp,.hwp,2422272,,,,,,UN00000479246,김경희,2026-02-09 10:23:47,/data/Attachfiles/a/2026/02/09/8e645ec9c059400eb7920b1462535248.hwp,c,d,
60bf3dce-19f0-49b0-9226-1905cda184a4,3,업130031,첨020417,e321f6b1875b4a7a99993493c4f7eb95.pdf,[태평2가]시공자 선정 우선협상 대상자 선정공고 &#40;4차&#41;.pdf,.pdf,89099,,,,,,UN00000479246,김경희,2026-02-09 10:25:22,/data/Attachfiles/a/2026/02/09/e321f6b1875b4a7a99993493c4f7eb95.pdf,c,d,
9a53a48e-ffb5-43cd-beca-cae834c77310,1,업130031,첨020297,9aedbeda82ad4ec89e27fae09bff1d66.hwp,1. 임실조공 상품화기반구축사업 복숭아 제함기 입찰공고문.hwp,.hwp,27136,,,,,,UN00000566255,박창식,2026-02-09 10:18:39,/data/Attachfiles/a/2026/02/09/9aedbeda82ad4ec89e27fae09bff1d66.hwp,c,d,
9a53a48e-ffb5-43cd-beca-cae834c77310,2,업130031,첨020033,7d10240bb3d14a1d8eb2d1862fd121b4.hwp,임실군조합공동사업법인 복숭아 제함기 구매 시방서&#40;자동 오픈박스&#41;.hwp,.hwp,28672,,,,,,UN00000566255,박창식,2026-02-09 10:18:39,/data/Attachfiles/a/2026/02/09/7d10240bb3d14a1d8eb2d1862fd121b4.hwp,c,d,
e35c9f6b-e833-4911-8e70-e6c616d5cbf1,3,업130031,첨020109,cbeb67b341a44107a1f692a7b705d1b4.xlsx,[첨부]_2026_부산아이파크_옥외광고_단가표.xlsx,.xlsx,39299,,,,,,UN00000109451,김현호,2026-02-09 10:00:46,/data/Attachfiles/a/2026/02/09/cbeb67b341a44107a1f692a7b705d1b4.xlsx,c,d,
e35c9f6b-e833-4911-8e70-e6c616d5cbf1,4,업130031,첨020297,5ac7ee8dcb3c45a094e9f9834570170e.hwp,2026시즌 부산아이파크 경기관람환경개&#40;재공고&#41;.hwp,.hwp,44544,,,,,,UN00000109451,김현호,2026-02-09 10:08:36,/data/Attachfiles/a/2026/02/09/5ac7ee8dcb3c45a094e9f9834570170e.hwp,c,d,
e35c9f6b-e833-4911-8e70-e6c616d5cbf1,5,업130031,첨020417,a881a1aac6404f37abd015521d766b18.pdf,2026시즌 부산아이파크 경기관람환경개&#40;재공고&#41;.pdf,.pdf,193823,,,,,,UN00000109451,김현호,2026-02-09 10:08:36,/data/Attachfiles/a/2026/02/09/a881a1aac6404f37abd015521d766b18.pdf,c,d,
