unty_atch_file_no,atch_file_sqno,bsne_clsf_cd,atch_file_knd_cd,atch_file_nm,orgnl_atch_file_nm,file_extn_nm,file_sz,encr_bef_file_sz,img_url,atch_file_dscr,mcsc_chck_id_val,dwnld_prms_yn,kbrdr_id,kbrdr_nm,inpt_dt,atch_file_path_nm,tbl_nm,col_nm,atch_file_rmrk_cn
987d2808-5982-4e5a-a9da-bd106928ca7c,1,업130031,첨020297,75196a4858974500a5f895c89966b360.pptx,2. 광신대교 첨가배관 보수공사 감리 입찰공고_260203.pptx,.pptx,76271,,,,,,UN00000113326,이동현,2026-02-03 15:18:45,/data/Attachfiles/a/2026/02/03/75196a4858974500a5f895c89966b360.pptx,c,d,
987d2808-5982-4e5a-a9da-bd106928ca7c,2,업130031,첨020109,c868c38898be4bf59d53c57351eb99bc.hwp,3. [설계서] 광신대교 첨가배관 보수공사.hwp,.hwp,1124864,,,,,,UN00000113326,이동현,2026-02-03 15:18:45,/data/Attachfiles/a/2026/02/03/c868c38898be4bf59d53c57351eb99bc.hwp,c,d,
987d2808-5982-4e5a-a9da-bd106928ca7c,3,업130031,첨020109,f05e3137626b42b7a31c0d2005c2d545.xls,4. [공내역서] 광신대교 첨가배관 보수공사.xls,.xls,135680,,,,,,UN00000113326,이동현,2026-02-03 15:18:45,/data/Attachfiles/a/2026/02/03/f05e3137626b42b7a31c0d2005c2d545.xls,c,d,
9369bcef-753b-439b-a5a9-36af782e6c4b,1,업130031,첨020297,785f070169224b40a5abda772833d639.pdf,입찰공고.pdf,.pdf,176471,,,,,,UN00000299451,나신숙,2026-02-02 10:32:44,/data/Attachfiles/a/2026/02/02/785f070169224b40a5abda772833d639.pdf,c,d,
9369bcef-753b-439b-a5a9-36af782e6c4b,2,업130031,첨020033,9b1610db1b774494b622b66031405a5c.pdf,입찰지침서.pdf,.pdf,559498,,,,,,UN00000299451,나신숙,2026-02-02 10:32:44,/data/Attachfiles/a/2026/02/02/9b1610db1b774494b622b66031405a5c.pdf,c,d,
e48cf31c-b281-4fa0-8313-bba746ae4169,1,업130031,첨020297,1d39db19f96e4d43a57dcf97bb9e9eaf.pdf,01. 소규모 재해영향평가-입찰공고문(변경).pdf,.pdf,157665,,,,,,UN00000168384,박도혁,2026-01-30 11:51:51,/data/Attachfiles/a/2026/01/30/1d39db19f96e4d43a57dcf97bb9e9eaf.pdf,c,d,
e48cf31c-b281-4fa0-8313-bba746ae4169,2,업130031,첨020033,5f8d24c518ed4dc0bbd13fa49b9e265c.pdf,02. 소규모 재해영향평가-입찰지침서.pdf,.pdf,129859,,,,,,UN00000168384,박도혁,2026-01-30 11:51:51,/data/Attachfiles/a/2026/01/30/5f8d24c518ed4dc0bbd13fa49b9e265c.pdf,c,d,
e48cf31c-b281-4fa0-8313-bba746ae4169,3,업130031,첨020109,aed7e42ecc504176a1784154b0b259d7.hwp,03. 소규모 재해영향평가-입찰서식.hwp,.hwp,32768,,,,,,UN00000168384,박도혁,2026-01-30 11:51:52,/data/Attachfiles/a/2026/01/30/aed7e42ecc504176a1784154b0b259d7.hwp,c,d,
ec0eac01-4191-435a-8f35-e62144a664cc,1,업130031,첨020297,6d908e6f65b1417ea4ff9a4e86fecbcb.hwp,붙임 1. 입찰공고문.hwp,.hwp,78336,,,,,,CZT03959G0001,김대현,2026-01-30 11:13:54,/data/Attachfiles/a/2026/01/30/6d908e6f65b1417ea4ff9a4e86fecbcb.hwp,c,d,
ec0eac01-4191-435a-8f35-e62144a664cc,2,업130031,첨020033,bc8e80500afd4142b07d9ad46bce00ff.hwp,붙임 2. 과업지시서.hwp,.hwp,49152,,,,,,CZT03959G0001,김대현,2026-01-30 11:13:55,/data/Attachfiles/a/2026/01/30/bc8e80500afd4142b07d9ad46bce00ff.hwp,c,d,
ec0eac01-4191-435a-8f35-e62144a664cc,3,업130031,첨020033,b4a4b0311b6d45d5b3a6334e30ecd6fb.hwp,붙임 3. 2026년_구매계약_특수조건.hwp,.hwp,863232,,,,,,CZT03959G0001,김대현,2026-01-30 11:13:55,/data/Attachfiles/a/2026/01/30/b4a4b0311b6d45d5b3a6334e30ecd6fb.hwp,c,d,
ec0eac01-4191-435a-8f35-e62144a664cc,4,업130031,첨020033,49f5e7ad588346db83d6f456a12b72c6.xlsx,별첨 1. 물품리스트_가격제안서.xlsx,.xlsx,41225,,,,,,CZT03959G0001,김대현,2026-01-30 11:13:55,/data/Attachfiles/a/2026/01/30/49f5e7ad588346db83d6f456a12b72c6.xlsx,c,d,
ec0eac01-4191-435a-8f35-e62144a664cc,5,업130031,첨020109,43808942043142e2884a2fdfcde17df3.xlsx,별첨 2. 계정 부여 필수사업소 및 배송지 주소목록.xlsx,.xlsx,15090,,,,,,CZT03959G0001,김대현,2026-01-30 11:13:55,/data/Attachfiles/a/2026/01/30/43808942043142e2884a2fdfcde17df3.xlsx,c,d,
63ecfccd-7cac-4b96-8ec4-744244ab1819,1,업130031,첨020297,5fa2aae453304620a668b838b5f8f9de.hwp,▣  설계자 -공고.hwp,.hwp,61440,,,,,,UN00000568032,정재영,2026-01-30 11:00:02,/data/Attachfiles/a/2026/01/30/5fa2aae453304620a668b838b5f8f9de.hwp,c,d,
63ecfccd-7cac-4b96-8ec4-744244ab1819,2,업130031,첨020033,275aa3baf8c8467c8d84a072144b9a2b.hwp,▣  설계지침서.hwp,.hwp,114176,,,,,,UN00000568032,정재영,2026-01-30 11:00:02,/data/Attachfiles/a/2026/01/30/275aa3baf8c8467c8d84a072144b9a2b.hwp,c,d,
18b09f91-814f-437d-9cb9-30bc6fab5c5f,1,업130031,첨020297,dc2829cc5a17424f8b87fc80955b5769.hwp,설계자건축공고.hwp,.hwp,114176,,,,,,UN00000568013,윤명자,2026-01-29 15:38:35,/data/Attachfiles/a/2026/01/29/dc2829cc5a17424f8b87fc80955b5769.hwp,c,d,
18b09f91-814f-437d-9cb9-30bc6fab5c5f,2,업130031,첨020033,67c4ead5364e4375ad184d3dca348669.hwp,설계자건축지침서.hwp,.hwp,115200,,,,,,UN00000568013,윤명자,2026-01-29 15:38:36,/data/Attachfiles/a/2026/01/29/67c4ead5364e4375ad184d3dca348669.hwp,c,d,
c49cd39b-d59a-44d1-bc94-a6e866bf3d7e,1,업130031,첨020033,614d2e742d124c8ba81bc7900c9a32c8.pdf,02. 석면-입찰지침서.pdf,.pdf,140656,,,,,,UN00000168384,박도혁,2026-01-28 11:40:27,/data/Attachfiles/a/2026/01/28/614d2e742d124c8ba81bc7900c9a32c8.pdf,c,d,
c49cd39b-d59a-44d1-bc94-a6e866bf3d7e,2,업130031,첨020109,c7a4603af1354826bc19fe6d44c0a45c.hwp,03. 석면-입찰서식.hwp,.hwp,32768,,,,,,UN00000168384,박도혁,2026-01-28 11:40:27,/data/Attachfiles/a/2026/01/28/c7a4603af1354826bc19fe6d44c0a45c.hwp,c,d,
c49cd39b-d59a-44d1-bc94-a6e866bf3d7e,3,업130031,첨020297,c974524a50da47c59ac92db3cfe5c131.pdf,01. 석면-입찰공고문.pdf,.pdf,159444,,,,,,UN00000168384,박도혁,2026-01-28 11:40:27,/data/Attachfiles/a/2026/01/28/c974524a50da47c59ac92db3cfe5c131.pdf,c,d,
418a0212-c911-47d7-b5ad-411fa8093bee,2,업130031,첨020109,d38b6e3c4454487b89a545a9f1df695e.hwp,03. 토목 용역업체-입찰서식.hwp,.hwp,49152,,,,,,UN00000168384,박도혁,2026-01-28 11:28:21,/data/Attachfiles/a/2026/01/28/d38b6e3c4454487b89a545a9f1df695e.hwp,c,d,
418a0212-c911-47d7-b5ad-411fa8093bee,3,업130031,첨020297,57f246bfe4fd4f2cacf1e7498f3f45b1.pdf,01. 토목 용역업체-입찰공고문.pdf,.pdf,164298,,,,,,UN00000168384,박도혁,2026-01-28 11:28:21,/data/Attachfiles/a/2026/01/28/57f246bfe4fd4f2cacf1e7498f3f45b1.pdf,c,d,
418a0212-c911-47d7-b5ad-411fa8093bee,4,업130031,첨020033,91aad1d8f9134cdcbd6099a36159ea07.pdf,02. 토목 용역업체-입찰지침서.pdf,.pdf,147444,,,,,,UN00000168384,박도혁,2026-01-28 11:42:34,/data/Attachfiles/a/2026/01/28/91aad1d8f9134cdcbd6099a36159ea07.pdf,c,d,
b0a26ace-4a52-44fe-84e7-9e5d075c01f1,1,업130031,첨020297,a34c04ea7ca34c6a96692195aaf4d9a3.pdf,"01. 친환경, 교육, 경관 용역업체-입찰공고문.pdf",.pdf,158255,,,,,,UN00000168384,박도혁,2026-01-28 13:15:10,/data/Attachfiles/a/2026/01/28/a34c04ea7ca34c6a96692195aaf4d9a3.pdf,c,d,
b0a26ace-4a52-44fe-84e7-9e5d075c01f1,2,업130031,첨020033,3593d486b6094987bf7582d23b60e64d.pdf,"02. 친환경, 교육, 경관-입찰지침서.pdf",.pdf,181677,,,,,,UN00000168384,박도혁,2026-01-28 13:15:10,/data/Attachfiles/a/2026/01/28/3593d486b6094987bf7582d23b60e64d.pdf,c,d,
b0a26ace-4a52-44fe-84e7-9e5d075c01f1,3,업130031,첨020109,b1dd7211d0d34973ab256b2083ecbb5b.hwp,"03. 친환경, 교육, 경관 용역업체-입찰서식.hwp",.hwp,32768,,,,,,UN00000168384,박도혁,2026-01-28 13:15:10,/data/Attachfiles/a/2026/01/28/b1dd7211d0d34973ab256b2083ecbb5b.hwp,c,d,
c30f831f-1c72-4aa3-bf60-075f3f48e197,1,업130031,첨020297,eb6768996d584aa88c185912bf592a57.hwp,청소용품 납품 입찰공고(2026년).hwp,.hwp,77312,,,,,,CM013468G0001,김삼만,2026-01-27 16:14:24,/data/Attachfiles/a/2026/01/27/eb6768996d584aa88c185912bf592a57.hwp,c,d,
dda88837-b81a-4c26-81ed-888d4efda9cb,1,업130031,첨020297,cf89490bfa454c84866ddbbfdab3c2e8.hwp,법무사공고.hwp,.hwp,77824,,,,,,UN00000568013,윤명자,2026-01-22 16:28:45,/data/Attachfiles/a/2026/01/22/cf89490bfa454c84866ddbbfdab3c2e8.hwp,c,d,
dda88837-b81a-4c26-81ed-888d4efda9cb,2,업130031,첨020033,07409913484a46f1b7ca84323580d99b.hwp,법무사 지침서.hwp,.hwp,67072,,,,,,UN00000568013,윤명자,2026-01-22 16:28:46,/data/Attachfiles/a/2026/01/22/07409913484a46f1b7ca84323580d99b.hwp,c,d,
